neuron_000_hz,neuron_001_hz,neuron_002_hz,neuron_003_hz,neuron_004_hz,neuron_005_hz,neuron_006_hz,neuron_007_hz,neuron_008_hz,neuron_009_hz,neuron_010_hz,neuron_011_hz,neuron_012_hz,neuron_013_hz,neuron_014_hz,neuron_015_hz,neuron_016_hz,neuron_017_hz,neuron_018_hz,neuron_019_hz,neuron_020_hz,neuron_021_hz,neuron_022_hz,neuron_023_hz,neuron_024_hz,neuron_025_hz,neuron_026_hz,neuron_027_hz,neuron_028_hz,neuron_029_hz,neuron_030_hz,neuron_031_hz,neuron_032_hz,neuron_033_hz,neuron_034_hz,neuron_035_hz,neuron_036_hz,neuron_037_hz,neuron_038_hz,neuron_039_hz,neuron_040_hz,neuron_041_hz,neuron_042_hz,neuron_043_hz,neuron_044_hz,neuron_045_hz,neuron_046_hz,neuron_047_hz,neuron_048_hz,neuron_049_hz,neuron_050_hz,neuron_051_hz,neuron_052_hz,neuron_053_hz,neuron_054_hz,neuron_055_hz,neuron_056_hz,neuron_057_hz,neuron_058_hz,neuron_059_hz,neuron_060_hz,neuron_061_hz,neuron_062_hz,neuron_063_hz,neuron_064_hz,neuron_065_hz,neuron_066_hz,neuron_067_hz,neuron_068_hz,neuron_069_hz,neuron_070_hz,neuron_071_hz,neuron_072_hz,neuron_073_hz,neuron_074_hz,neuron_075_hz,neuron_076_hz,neuron_077_hz,neuron_078_hz,neuron_079_hz,neuron_080_hz,neuron_081_hz,neuron_082_hz,neuron_083_hz,neuron_084_hz,neuron_085_hz,neuron_086_hz,neuron_087_hz,neuron_088_hz,neuron_089_hz,neuron_090_hz,neuron_091_hz,neuron_092_hz,neuron_093_hz,neuron_094_hz,neuron_095_hz,neuron_096_hz,neuron_097_hz,neuron_098_hz,neuron_099_hz
0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,10,0,0,0,0,0,12,2,0,0,8,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0
0,0,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,6,0,4,0,0,0,0,0,6,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8,0
0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,2,0,0,0,12,0,6,0,0,0,2,0,12,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,18,0,10,0,0,0,0,0,14,0,0,0,18,0,4,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,12,0,4,0,0,0,0,0,6,2,0,0,14,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,10,0
0,0,0,0,0,2,0,0,2,12,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,8,0,6,0,0,0,0,0,16,0,0,0,12,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0
0,0,0,0,2,0,0,0,2,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,4,0,0,0,4,0,6,0,0,0,0,0,14,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,4,0,2,0,0,2,4,0,0,0,0,0,6,0
0,0,0,0,2,4,0,0,0,16,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,16,0,0,4,0,0,0,0,2,0,0,0,0,0,0,4,4,16,14,0,6,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,10,0,0,4,0,2,0,2,4,0,2,2,4,0,0,6,2,4,0,0,4,0,2,2,0,0,0,0,2,6,0
0,0,2,0,6,0,2,0,0,2,0,0,0,6,0,0,0,2,2,0,4,0,0,0,0,2,6,0,0,0,0,14,0,24,4,2,6,2,0,0,2,0,0,0,0,0,0,0,14,2,18,8,0,18,0,2,0,0,0,6,0,0,0,0,4,2,0,0,2,2,6,0,0,0,0,0,10,4,0,0,0,12,0,0,8,0,8,2,0,8,0,4,12,2,0,0,0,2,2,0
0,2,4,0,2,2,2,0,0,4,0,2,0,8,2,0,0,10,6,0,6,0,0,2,0,0,10,0,0,0,0,0,0,2,2,0,10,10,0,2,2,0,0,4,0,2,0,2,4,6,18,10,0,6,0,0,0,0,0,0,10,0,0,2,10,0,2,0,0,0,16,2,0,10,0,0,6,6,0,10,0,4,0,0,8,0,6,0,2,6,0,4,20,6,0,6,0,2,2,0
0,0,2,0,2,8,10,0,0,0,0,0,0,2,0,0,0,14,16,8,12,0,2,10,0,0,22,0,0,0,0,0,0,0,0,0,6,10,0,4,8,2,2,4,2,4,2,0,8,6,2,8,0,8,0,0,0,0,2,0,6,0,0,0,12,2,2,0,0,0,4,0,0,8,2,0,16,6,0,4,0,4,4,0,8,2,10,0,0,14,0,2,18,6,2,4,0,8,0,4
0,0,6,0,10,2,8,2,0,0,0,0,0,0,2,0,0,0,0,6,10,4,0,4,0,0,14,0,0,0,0,2,2,6,0,2,14,10,0,2,6,2,2,4,12,8,2,0,18,6,0,2,0,12,2,0,0,0,2,0,6,0,0,6,16,0,12,0,0,0,16,0,0,10,0,0,8,0,0,2,0,0,0,0,10,0,14,0,0,8,0,4,8,6,2,14,0,8,0,0
2,0,2,2,6,16,8,0,0,0,0,0,2,0,0,2,0,10,6,8,8,0,2,12,0,0,14,0,0,0,0,0,0,4,0,2,10,6,0,8,8,2,4,10,6,8,0,0,8,4,0,4,0,4,6,0,0,0,4,0,8,0,0,8,20,0,14,0,0,0,10,0,0,14,10,0,4,0,0,6,0,0,2,0,6,0,10,2,0,8,0,2,12,6,2,10,0,2,0,0
0,0,0,0,10,6,18,0,0,0,0,0,0,0,0,0,2,12,12,10,8,0,0,2,0,0,10,0,2,0,0,0,0,14,0,0,8,8,0,8,14,2,4,4,6,14,2,0,6,8,0,0,0,8,2,2,0,0,0,0,10,0,0,2,6,0,14,0,0,0,6,0,2,4,4,0,4,0,0,6,0,0,10,0,14,0,12,2,0,14,0,0,16,10,2,14,0,8,0,2
0,0,2,0,4,8,8,2,0,0,0,0,0,0,0,0,0,20,10,2,10,0,0,4,2,0,16,0,0,0,0,0,0,2,0,0,6,4,0,8,6,0,6,4,10,4,0,0,8,2,0,8,0,8,4,2,0,0,0,0,8,0,0,6,4,0,18,0,0,0,12,0,0,6,2,0,10,0,0,10,2,0,10,0,8,0,12,0,0,8,0,0,6,8,4,2,0,18,0,4
0,0,8,0,8,10,4,0,0,2,0,0,0,0,0,0,0,8,4,26,14,0,2,14,0,0,8,2,0,0,0,0,0,2,6,0,14,6,0,12,8,0,8,4,4,12,0,0,12,8,4,4,0,4,2,4,0,0,10,0,8,0,0,6,16,0,14,0,0,0,6,0,0,14,2,2,4,0,4,4,0,0,8,0,6,0,12,0,4,2,2,0,12,4,4,16,0,10,2,0
4,0,8,0,2,4,4,6,0,0,0,0,0,0,0,2,0,4,6,12,4,0,0,6,0,0,6,0,0,0,0,0,4,2,2,2,4,4,0,0,2,0,20,4,12,6,0,2,4,0,0,4,0,0,4,2,0,0,2,0,0,0,0,6,20,0,18,0,0,0,2,0,0,6,4,2,2,0,4,2,0,0,10,0,0,0,8,2,0,4,2,0,4,2,18,10,6,4,0,0
4,0,6,0,0,0,4,10,0,0,2,0,4,0,0,6,0,0,4,22,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,8,4,2,2,2,12,0,6,0,2,4,2,14,0,2,0,0,0,4,4,0,6,6,0,6,0,0,0,0,0,0,4,14,14,0,0,20,0,4,0,10,0,0,2,4,4,0,4,4,0,0,2,12,8,4,0,0,0
10,2,12,12,2,0,0,4,0,0,6,0,6,0,0,6,4,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8,2,2,0,0,4,0,4,0,2,0,0,16,2,0,0,0,8,0,16,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,6,12,0,0,20,0,8,0,2,0,0,0,0,2,0,0,4,0,0,0,4,10,14,2,0,0
10,0,6,6,0,0,0,2,0,0,6,2,12,0,0,10,8,0,0,2,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,8,0,0,0,0,0,2,4,0,6,0,0,10,0,0,0,0,10,2,16,2,10,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,2,0,0,8,0,0,2,0,14,0,0,0,0,0,2,18,0,2,10,0,0,0,0,6,8,0,0,2
6,0,2,24,0,0,0,6,0,0,20,0,14,0,0,4,14,0,0,2,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,6,0,8,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,4,0,0,10,0,0,2,0,0,6,0,0,0
12,0,2,20,0,0,0,6,0,0,14,0,8,0,0,6,12,0,0,0,0,0,0,0,0,2,0,0,0,26,0,2,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,8,0,0,0,0,10,0,10,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,4,0,0,0,0,0,0,18,0,0,4,2,0,0,0,0,8,0,0,0
6,0,0,12,0,0,0,6,0,0,10,0,6,0,0,16,10,2,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,6,0,12,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,0,8,0,0,0,2,2,0,12,0,0,4,2,0,0,0,2,8,0,0,0
2,0,4,12,0,0,0,6,0,0,8,0,4,0,0,14,10,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,6,0,10,0,8,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,2,0,2,2,0,0,6,0,0,0
12,0,0,4,0,2,0,4,0,0,14,0,6,0,0,2,10,2,2,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,2,2,0,14,0,8,0,2,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,2,0,6,0,0,0,0,8,0,0,0,2,0,0,8,0,0,10,2,0,0,0,0,6,0,0,0
6,0,2,24,0,0,0,2,0,0,6,0,2,0,0,6,8,0,0,4,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,6,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,2,0,0,0,2,0,0,16,0,0,8,0,0,0,2,0,6,0,0,0
6,0,0,8,0,0,0,0,0,0,14,0,16,0,0,14,16,0,2,6,0,0,0,0,2,0,0,0,0,16,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,10,0,8,0,8,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,6,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,4,0,0,0
18,0,2,16,0,0,0,4,0,2,6,0,6,0,2,4,6,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,14,4,0,0,0,12,0,22,0,8,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,6,0,10,0,2,0,0,0,0,8,0,0,4,0,0,0,4,0,8,0,0,0
10,0,10,8,0,0,0,2,0,0,8,0,12,0,0,8,0,0,2,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,2,0,0,0,2,0,10,0,2,0,0,16,2,4,0,0,12,0,24,0,6,0,0,2,2,12,0,4,0,0,6,0,0,0,0,2,0,0,8,10,0,0,8,0,6,0,0,0,0,0,0,6,4,0,20,0,2,0,6,2,20,0,2,2
10,0,4,0,0,4,2,8,0,0,6,0,4,2,0,2,2,0,4,20,0,2,0,4,0,0,0,0,0,4,0,0,0,0,2,6,0,2,0,0,4,0,8,0,4,0,0,18,0,0,0,0,8,0,14,0,4,0,0,0,4,2,0,6,8,0,4,0,0,0,0,0,0,6,14,4,0,0,12,0,2,0,4,0,0,0,4,6,2,0,2,0,2,4,4,14,6,2,0,2
2,0,6,0,0,2,4,8,0,0,0,2,0,0,2,4,0,4,8,16,6,2,0,10,0,0,4,0,0,0,2,0,0,2,2,0,2,2,0,6,10,0,4,2,6,2,2,6,8,0,0,2,2,0,12,2,4,4,0,0,6,2,0,8,12,0,10,0,0,0,2,0,2,0,20,2,2,0,6,0,0,0,6,0,2,0,16,0,0,0,2,0,0,4,18,10,10,8,0,2
0,0,6,0,2,4,6,0,0,0,0,2,0,0,0,0,0,10,8,12,6,0,0,8,0,0,6,0,2,0,0,0,0,0,2,0,6,12,0,6,14,0,16,6,8,24,0,4,6,4,0,0,0,2,0,0,0,0,8,0,8,0,0,10,4,0,10,0,0,0,4,0,0,16,4,0,0,0,0,2,0,0,6,0,4,0,12,2,0,10,0,0,6,8,10,14,2,6,0,4
0,0,2,0,6,6,8,2,0,0,0,0,0,0,0,2,2,14,12,8,4,0,0,2,0,0,16,0,0,0,0,0,0,2,6,2,14,8,0,4,12,0,4,6,8,10,0,0,6,2,0,8,0,4,4,0,0,2,8,0,6,0,0,4,16,0,8,0,0,0,6,0,0,12,2,0,8,0,0,0,0,0,6,0,6,0,14,0,0,8,0,0,2,14,4,12,0,8,0,2
0,0,8,0,8,8,18,2,0,0,0,2,0,0,2,0,0,4,6,14,10,0,0,4,0,0,8,0,2,0,2,0,0,2,8,0,0,8,0,6,16,0,2,8,10,22,0,0,14,10,0,8,0,2,2,0,0,0,0,0,8,0,0,18,6,0,18,0,0,0,14,0,2,10,8,0,2,2,0,4,0,0,8,0,12,0,18,0,2,14,0,4,8,12,6,10,0,14,0,2
0,0,12,0,10,14,16,0,0,0,0,0,2,0,0,0,0,10,8,10,8,2,0,8,0,0,14,0,0,0,0,0,0,0,8,0,12,10,0,2,10,2,0,6,2,8,4,0,16,2,2,8,0,6,2,2,0,0,2,0,6,0,0,6,8,0,16,0,0,0,4,0,0,6,2,0,14,0,0,10,0,0,4,0,4,0,18,0,2,16,0,0,6,12,8,16,0,4,2,4
0,0,0,0,8,4,8,2,0,0,0,2,0,0,0,2,0,8,10,8,4,0,0,12,0,0,14,0,0,0,0,0,0,4,4,2,8,8,0,12,20,2,6,4,4,10,0,0,4,6,0,6,0,8,6,4,0,0,4,0,2,0,0,2,14,2,24,0,0,0,14,2,0,10,2,0,10,2,2,2,0,0,8,0,4,0,14,2,2,10,2,0,10,10,0,10,2,16,0,0
0,0,12,0,6,6,2,0,0,0,0,2,0,0,0,2,0,12,2,10,8,2,0,14,0,0,6,0,0,0,0,0,0,2,4,0,12,2,0,2,14,0,8,2,6,2,2,2,6,6,0,4,4,4,4,4,0,0,2,0,8,0,0,4,10,0,18,0,0,0,2,0,0,4,10,0,6,0,2,8,0,4,4,0,6,0,18,0,0,8,4,0,16,6,8,12,6,12,0,2
0,0,4,0,10,6,6,0,0,0,0,0,0,0,0,0,0,2,12,14,4,0,0,6,0,0,8,2,2,0,0,2,0,0,2,4,2,12,0,2,10,0,10,2,10,4,2,2,6,4,0,0,0,0,4,0,0,0,0,0,10,4,0,6,12,0,16,0,0,0,4,0,0,12,12,0,0,0,0,2,0,0,4,0,2,0,8,0,2,2,2,0,2,2,6,24,4,8,0,0
2,0,18,2,4,0,10,2,0,0,0,0,6,0,0,2,0,0,0,14,2,0,0,2,0,0,8,0,0,2,0,0,0,0,2,0,8,8,0,0,8,0,18,4,14,2,0,0,4,8,0,2,10,0,14,0,2,0,0,0,0,2,0,12,4,0,20,0,0,0,2,0,0,2,8,0,0,0,2,0,6,0,2,2,2,0,10,2,2,0,4,2,2,0,14,16,4,2,0,2
4,0,8,4,2,0,4,4,0,0,2,0,0,0,0,10,0,0,4,8,0,0,0,0,0,0,4,0,0,6,0,0,0,0,2,4,0,2,0,0,2,0,6,2,2,0,0,10,0,0,0,0,12,0,14,0,2,0,0,0,2,4,2,8,6,0,4,0,0,2,2,0,0,2,12,10,0,0,10,0,0,0,0,0,0,0,0,2,2,0,2,0,0,4,10,20,10,6,0,0
16,0,4,0,4,0,4,14,0,0,4,0,10,0,0,22,6,2,2,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,2,0,0,10,2,4,0,0,8,0,2,0,0,8,0,20,0,2,0,0,0,0,12,0,6,0,0,4,0,0,0,0,0,0,0,2,20,0,0,14,0,6,0,2,2,0,0,2,4,0,0,6,2,0,0,2,14,6,0,0,0
16,2,2,6,0,0,2,8,0,0,16,0,12,0,0,10,6,0,0,14,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,12,0,0,0,0,0,0,2,2,0,0,0,6,2,2,0,0,16,0,14,0,4,0,0,0,0,14,0,0,2,0,0,0,2,0,0,0,0,0,4,8,0,0,10,0,14,0,4,0,0,0,2,4,2,2,4,0,0,2,0,0,12,0,2,0
8,2,2,20,2,0,0,2,0,0,18,0,4,0,0,12,12,0,0,0,2,0,0,2,0,0,0,0,0,12,2,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,4,2,0,2,0,12,0,16,0,16,2,0,0,0,12,0,0,0,0,2,0,0,0,0,0,2,0,4,6,2,0,0,0,6,0,0,0,0,0,0,4,0,0,16,0,0,0,0,0,6,0,0,0
4,0,8,12,0,0,0,2,0,0,6,0,14,0,0,14,18,0,0,8,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,10,0,2,0,0,0,0,0,0,4,0,0,10,0,0,0,0,6,0,12,0,8,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,6,0,0,10,0,0,0,0,2,14,0,0,0
10,2,2,8,0,2,0,6,0,0,12,0,14,0,0,8,22,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,16,0,12,0,14,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,0,4,0,2,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,8,0,0,0
6,0,2,10,0,0,0,0,0,0,4,0,6,0,0,16,10,0,2,8,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,18,0,18,0,12,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,0,4,6,0,0,2,0,8,0,0,0,0,0,2,6,0,0,18,0,0,0,0,2,8,0,0,0
8,0,6,10,0,0,0,8,0,2,10,0,8,0,0,16,10,2,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,2,10,0,0,2,0,10,0,20,0,2,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,4,0,0,6,0,4,0,2,0,0,0,0,6,0,0,6,0,0,0,0,4,8,0,0,0
6,0,14,12,2,0,0,16,0,0,14,0,16,0,0,10,10,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,22,0,10,2,4,0,0,0,0,6,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,4,2,12,0,0,0,0,0,0,8,0,0,10,0,0,0,0,2,14,0,0,0
10,0,14,8,0,0,2,8,0,2,12,0,6,0,0,14,2,0,0,4,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,6,2,2,0,0,0,0,4,0,0,0,0,8,0,2,0,0,12,0,22,0,4,0,0,0,0,12,0,2,2,0,4,0,0,0,0,0,0,2,2,4,0,0,2,2,14,2,0,0,2,0,0,2,0,0,4,0,0,0,0,8,14,0,0,0
10,0,16,4,0,2,0,4,0,0,6,0,8,0,0,16,0,0,4,10,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,4,0,4,0,0,0,0,8,0,2,0,0,12,0,0,0,0,12,2,28,2,4,0,0,0,0,4,0,2,0,0,4,0,0,2,0,0,0,0,4,10,0,0,12,0,2,0,4,0,2,0,0,6,0,0,4,0,0,0,14,10,14,2,0,0
6,0,4,2,2,2,2,12,0,0,0,0,2,0,0,10,0,0,0,14,2,0,0,4,0,0,4,0,0,2,0,0,0,0,0,2,2,4,0,0,2,0,8,4,8,0,2,14,6,0,4,2,6,0,14,0,0,0,0,0,2,2,0,6,2,0,4,0,0,0,0,0,0,4,18,2,0,0,10,0,0,0,6,0,0,0,4,6,2,0,4,0,0,0,18,6,6,6,0,0
4,0,8,0,2,6,6,0,0,0,0,0,2,0,0,4,0,0,4,28,0,0,0,8,2,0,8,0,0,0,0,0,0,2,0,0,6,10,0,0,4,0,16,4,6,8,0,6,2,6,0,4,6,0,8,2,0,0,2,0,4,0,0,10,10,2,12,0,0,0,0,0,0,16,8,0,0,0,4,2,0,0,14,0,0,0,6,0,0,0,0,0,2,4,12,22,10,8,0,2
0,0,8,0,14,10,2,6,0,0,0,0,2,0,0,0,0,10,6,12,8,2,0,8,0,0,8,2,0,0,0,0,0,2,2,0,4,10,0,4,10,0,8,4,12,12,2,2,4,2,0,2,2,0,4,4,0,0,0,0,10,0,0,12,16,0,12,0,0,0,0,0,0,12,4,0,6,0,2,4,0,0,12,0,2,0,14,0,2,6,0,0,8,4,8,24,2,12,0,0
0,0,8,0,4,8,6,0,0,0,0,0,0,0,0,0,0,8,6,6,2,0,0,10,2,0,20,0,2,0,0,0,0,8,0,0,10,6,0,8,16,6,12,0,0,4,2,4,8,2,2,0,2,6,10,2,0,0,4,0,6,2,0,6,12,0,6,0,0,0,12,0,0,2,2,0,10,0,0,10,0,0,6,0,4,0,18,0,0,6,0,2,10,16,4,18,0,6,0,2
0,0,6,0,6,8,6,2,0,0,0,0,2,0,0,0,0,8,12,16,8,2,0,6,0,0,12,2,0,0,0,0,0,4,2,2,14,4,2,4,12,2,2,4,6,18,0,2,6,4,0,4,2,6,0,2,2,0,4,0,6,0,0,4,12,0,14,0,0,0,2,0,0,8,4,0,12,0,0,2,0,0,4,0,10,0,4,2,0,18,0,2,6,8,4,10,2,14,0,0
0,0,8,0,2,4,4,2,0,0,0,2,0,2,2,0,0,12,2,8,8,0,0,12,2,2,6,0,0,0,0,2,0,2,2,2,8,8,0,2,8,0,4,2,6,12,0,0,4,2,0,4,0,2,4,4,0,0,2,0,6,0,0,6,12,2,14,0,0,0,8,2,0,8,6,0,12,4,0,8,0,0,2,2,4,0,8,0,0,4,0,0,14,16,8,14,0,4,0,2
0,0,6,0,12,4,2,2,0,0,0,0,0,0,0,0,2,16,6,8,10,2,0,0,2,2,16,0,0,0,0,0,0,0,2,0,12,18,0,2,8,4,8,6,8,8,0,2,4,0,2,8,2,2,0,2,0,2,0,0,8,0,0,0,16,0,8,0,0,0,8,0,0,2,0,2,12,0,0,8,0,0,8,0,10,0,16,0,2,10,0,2,16,4,0,14,0,2,0,2
0,0,4,0,6,4,8,0,0,0,0,2,2,0,0,0,0,4,6,4,6,0,0,6,0,2,6,0,0,2,0,0,0,6,4,0,6,10,0,4,12,2,4,6,4,20,2,0,8,6,0,10,2,0,4,4,0,0,0,0,6,0,0,6,14,0,12,0,0,0,14,0,0,16,4,0,10,0,0,2,0,0,6,0,8,0,22,0,0,12,0,2,10,10,2,10,0,10,0,0
0,0,2,0,2,14,4,0,0,0,0,0,0,0,0,0,0,16,10,12,8,0,0,6,4,8,10,0,0,0,2,0,0,0,6,0,10,2,0,0,24,0,0,8,2,28,0,0,10,6,0,6,0,12,0,10,0,0,0,0,8,0,0,2,10,0,8,2,0,0,14,0,0,10,2,0,6,0,0,6,0,0,2,0,10,0,22,0,0,6,0,0,8,6,2,14,2,2,0,4
0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,2,0,10,12,8,2,0,0,4,4,6,4,0,0,0,0,2,2,2,16,0,12,2,4,0,2,8,0,20,24,12,0,0,8,2,2,2,2,8,0,22,0,0,0,0,16,0,0,4,6,0,4,0,2,0,2,2,0,14,2,0,0,0,0,4,0,0,2,0,6,0,16,0,0,14,4,0,2,0,2,4,0,10,0,6
0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,18,2,0,0,2,0,0,0,16,2,12,0,2,0,8,0,0,6,0,18,10,4,0,0,2,0,2,4,4,0,0,20,0,0,0,0,8,0,0,0,0,0,2,0,2,0,0,0,0,18,0,0,0,0,0,2,0,0,4,0,2,0,6,0,0,0,0,0,2,0,0,4,0,6,0,6
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,4,24,2,2,0,0,2,0,0,22,0,38,0,0,0,2,0,0,8,0,6,2,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,2,0,6,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,18,0,0,0,4,0,0,0,0,14,4,0,0,0,4,0,0,0,0,0,0,4,2,0,0,0,6,0,0,0,0,0,0,2,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,22,0,0,0,0,0,0,2,0,8,2,0,0,2,2,0,0,2,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,6,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,2,14,0,14,0,0,0,0,0,0,0,0,4,2,2,0,2,0,2,2,0,0,0,0,4,0,0,0,2,4,0,0,0,2,0,0,0,10,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
